ProductID,EAN,WeekoftheYear,Quantity_sum
4260705920003,M.01,37,1
4260705920003,M.01,43,1
4260705920010,M.02,1,5
4260705920010,M.02,2,2
4260705920010,M.02,3,5
4260705920010,M.02,4,1
4260705920010,M.02,5,4
4260705920010,M.02,36,1
4260705920010,M.02,37,2
4260705920010,M.02,39,2
4260705920010,M.02,40,5
4260705920010,M.02,41,2
4260705920010,M.02,42,4
4260705920010,M.02,43,4
4260705920010,M.02,44,3
4260705920010,M.02,45,5
4260705920010,M.02,46,4
4260705920010,M.02,47,4
4260705920010,M.02,48,4
4260705920010,M.02,49,4
4260705920010,M.02,50,4
4260705920010,M.02,51,3
4260705920010,M.02,52,2
4260705920027,M.03,37,4
4260705920027,M.03,39,3
4260705920027,M.03,43,1
4260705920027,M.03,44,1
4260705920027,M.03,46,1
4260705920027,M.03,47,1
4260705920027,M.03,49,1
4260705920027,M.03,50,3
4260705920027,M.03,51,2
4260705920034,M.04,3,1
4260705920034,M.04,4,3
4260705920034,M.04,5,2
4260705920034,M.04,37,2
4260705920034,M.04,39,3
4260705920034,M.04,40,2
4260705920034,M.04,41,2
4260705920034,M.04,42,1
4260705920034,M.04,43,3
4260705920034,M.04,44,2
4260705920034,M.04,45,5
4260705920034,M.04,46,2
4260705920034,M.04,47,3
4260705920034,M.04,48,3
4260705920034,M.04,49,3
4260705920034,M.04,50,1
4260705920034,M.04,51,2
4260705920034,M.04,52,1
4260705920041,M.05,42,1
4260705920058,M.06,36,1
4260705920058,M.06,37,1
4260705920058,M.06,39,1
4260705920058,M.06,40,2
4260705920058,M.06,41,2
4260705920058,M.06,42,1
4260705920058,M.06,43,2
4260705920058,M.06,45,1
4260705920058,M.06,47,1
4260705920065,M.07,37,1
4260705920065,M.07,38,2
4260705920065,M.07,40,2
4260705920065,M.07,41,2
4260705920065,M.07,42,2
4260705920065,M.07,43,2
4260705920065,M.07,44,5
4260705920065,M.07,45,4
4260705920072,M.08,1,2
4260705920072,M.08,2,5
4260705920072,M.08,3,4
4260705920072,M.08,4,3
4260705920072,M.08,5,4
4260705920072,M.08,36,1
4260705920072,M.08,37,6
4260705920072,M.08,38,5
4260705920072,M.08,39,8
4260705920072,M.08,40,7
4260705920072,M.08,41,3
4260705920072,M.08,42,6
4260705920072,M.08,43,5
4260705920072,M.08,44,5
4260705920072,M.08,45,4
4260705920072,M.08,46,2
4260705920072,M.08,47,3
4260705920072,M.08,48,5
4260705920072,M.08,49,5
4260705920072,M.08,50,3
4260705920072,M.08,51,2
4260705920072,M.08,52,1
4260705920089,M.09,39,1
4260705920089,M.09,44,1
4260705920089,M.09,45,1
4260705920089,M.09,51,2
4260705920089,M.09,52,2
4260705920096,M.10,1,3
4260705920096,M.10,2,2
4260705920096,M.10,5,1
4260705920096,M.10,36,1
4260705920096,M.10,37,1
4260705920096,M.10,38,3
4260705920096,M.10,39,2
4260705920096,M.10,40,1
4260705920096,M.10,41,2
4260705920096,M.10,42,2
4260705920096,M.10,43,3
4260705920096,M.10,44,1
4260705920096,M.10,45,2
4260705920096,M.10,46,1
4260705920096,M.10,47,1
4260705920096,M.10,49,1
4260705920096,M.10,50,3
4260705920096,M.10,51,1
4260705920102,M.11,1,4
4260705920102,M.11,2,2
4260705920102,M.11,3,2
4260705920102,M.11,4,2
4260705920102,M.11,5,4
4260705920102,M.11,36,2
4260705920102,M.11,37,4
4260705920102,M.11,38,2
4260705920102,M.11,39,5
4260705920102,M.11,40,5
4260705920102,M.11,41,2
4260705920102,M.11,42,4
4260705920102,M.11,43,3
4260705920102,M.11,44,4
4260705920102,M.11,45,3
4260705920102,M.11,46,3
4260705920102,M.11,47,3
4260705920102,M.11,48,3
4260705920102,M.11,49,4
4260705920102,M.11,50,1
4260705920102,M.11,51,2
4260705920102,M.11,52,1
4260705920119,M.12,36,2
4260705920119,M.12,37,5
4260705920119,M.12,38,5
4260705920119,M.12,39,8
4260705920119,M.12,40,5
4260705920119,M.12,41,3
4260705920119,M.12,42,4
4260705920119,M.12,43,6
4260705920119,M.12,44,7
4260705920119,M.12,45,6
4260705920119,M.12,46,5
4260705920119,M.12,47,5
4260705920119,M.12,48,1
4260705920133,M.14,37,1
4260705920133,M.14,40,1
4260705920133,M.14,44,2
4260705920133,M.14,45,1
4260705920133,M.14,47,1
4260705920140,M.15,36,2
4260705920140,M.15,37,4
4260705920140,M.15,38,3
4260705920140,M.15,39,4
4260705920140,M.15,40,5
4260705920140,M.15,41,3
4260705920140,M.15,42,3
4260705920140,M.15,43,5
4260705920140,M.15,44,1
4260705920140,M.15,46,1
4260705920157,M.16,1,3
4260705920157,M.16,2,2
4260705920157,M.16,3,2
4260705920157,M.16,4,2
4260705920157,M.16,5,2
4260705920157,M.16,36,1
4260705920157,M.16,37,3
4260705920157,M.16,38,3
4260705920157,M.16,39,3
4260705920157,M.16,40,3
4260705920157,M.16,41,1
4260705920157,M.16,43,5
4260705920157,M.16,44,1
4260705920157,M.16,45,1
4260705920157,M.16,46,1
4260705920157,M.16,47,1
4260705920157,M.16,48,4
4260705920157,M.16,49,4
4260705920157,M.16,50,2
4260705920157,M.16,51,2
4260705920157,M.16,52,4
4260705920164,M.17,1,1
4260705920164,M.17,2,2
4260705920164,M.17,3,1
4260705920164,M.17,4,1
4260705920164,M.17,5,3
4260705920164,M.17,37,1
4260705920164,M.17,38,1
4260705920164,M.17,39,3
4260705920164,M.17,40,5
4260705920164,M.17,41,2
4260705920164,M.17,42,2
4260705920164,M.17,43,3
4260705920164,M.17,44,2
4260705920164,M.17,45,3
4260705920164,M.17,46,3
4260705920164,M.17,47,1
4260705920164,M.17,48,4
4260705920164,M.17,49,2
4260705920164,M.17,50,2
4260705920164,M.17,51,2
4260705920164,M.17,52,3
4260705920195,M.22,5,2
4260705920195,M.22,38,1
4260705920195,M.22,41,1
4260705920195,M.22,44,2
4260705920195,M.22,46,2
4260705920201,M.23,5,1
4260705920201,M.23,46,2
4260705920218,M.24,5,1
4260705920218,M.24,40,2
4260705920218,M.24,46,1
4260705920225,M.25,1,1
4260705920225,M.25,4,1
4260705920225,M.25,37,2
4260705920225,M.25,38,1
4260705920225,M.25,42,1
4260705920225,M.25,46,1
4260705920225,M.25,48,2
4260705920225,M.25,49,2
4260705920225,M.25,50,1
4260705920225,M.25,51,1
4260705920225,M.25,52,1
4260705920232,M.26,44,1
4260705920249,M.27,1,3
4260705920249,M.27,2,2
4260705920249,M.27,3,3
4260705920249,M.27,4,4
4260705920249,M.27,5,3
4260705920249,M.27,37,7
4260705920249,M.27,38,6
4260705920249,M.27,39,7
4260705920249,M.27,40,6
4260705920249,M.27,41,8
4260705920249,M.27,42,4
4260705920249,M.27,43,5
4260705920249,M.27,44,8
4260705920249,M.27,45,8
4260705920249,M.27,46,2
4260705920249,M.27,47,3
4260705920249,M.27,48,3
4260705920249,M.27,49,5
4260705920249,M.27,50,3
4260705920249,M.27,51,4
4260705920249,M.27,52,1
4260705920263,MS.01,52,2
4260705920270,MS.02,52,1
4260705920287,MS.03,40,1
4260705920287,MS.03,44,1
4260705920287,MS.03,46,1
4260705920287,MS.03,52,1
4260705920294,MS.04,1,8
4260705920294,MS.04,2,5
4260705920294,MS.04,3,3
4260705920294,MS.04,4,5
4260705920294,MS.04,5,6
4260705920294,MS.04,36,3
4260705920294,MS.04,37,14
4260705920294,MS.04,38,11
4260705920294,MS.04,39,5
4260705920294,MS.04,40,6
4260705920294,MS.04,41,8
4260705920294,MS.04,42,4
4260705920294,MS.04,43,11
4260705920294,MS.04,44,8
4260705920294,MS.04,45,5
4260705920294,MS.04,46,6
4260705920294,MS.04,47,6
4260705920294,MS.04,48,7
4260705920294,MS.04,49,5
4260705920294,MS.04,50,5
4260705920294,MS.04,51,8
4260705920294,MS.04,52,6
4260705920300,MS.05,1,2
4260705920300,MS.05,2,2
4260705920300,MS.05,3,2
4260705920300,MS.05,4,2
4260705920300,MS.05,5,4
4260705920300,MS.05,36,1
4260705920300,MS.05,37,3
4260705920300,MS.05,38,4
4260705920300,MS.05,39,3
4260705920300,MS.05,40,3
4260705920300,MS.05,41,4
4260705920300,MS.05,42,4
4260705920300,MS.05,43,3
4260705920300,MS.05,44,2
4260705920300,MS.05,45,1
4260705920300,MS.05,46,3
4260705920300,MS.05,47,3
4260705920300,MS.05,48,4
4260705920300,MS.05,49,3
4260705920300,MS.05,50,3
4260705920300,MS.05,51,1
4260705920300,MS.05,52,2
4260705920317,MS.06,36,1
4260705920317,MS.06,37,5
4260705920317,MS.06,38,3
4260705920317,MS.06,39,4
4260705920317,MS.06,40,4
4260705920317,MS.06,41,4
4260705920317,MS.06,42,1
4260705920317,MS.06,43,1
4260705920317,MS.06,44,3
4260705920317,MS.06,45,1
4260705920317,MS.06,52,1
4260705920324,MS.07,1,5
4260705920324,MS.07,2,4
4260705920324,MS.07,3,4
4260705920324,MS.07,4,5
4260705920324,MS.07,5,5
4260705920324,MS.07,36,3
4260705920324,MS.07,37,5
4260705920324,MS.07,38,7
4260705920324,MS.07,39,8
4260705920324,MS.07,40,10
4260705920324,MS.07,41,9
4260705920324,MS.07,42,8
4260705920324,MS.07,43,8
4260705920324,MS.07,44,7
4260705920324,MS.07,45,9
4260705920324,MS.07,46,6
4260705920324,MS.07,47,10
4260705920324,MS.07,48,10
4260705920324,MS.07,49,7
4260705920324,MS.07,50,8
4260705920324,MS.07,51,6
4260705920324,MS.07,52,4
4260705920331,M.21,36,1
4260705920331,M.21,37,1
4260705920331,M.21,38,2
4260705920331,M.21,39,1
4260705920331,M.21,40,3
4260705920331,M.21,41,3
4260705920331,M.21,42,2
4260705920331,M.21,43,3
4260705920331,M.21,44,1
4260705920331,M.21,46,1
4260705920331,M.21,47,1
4260705920331,M.21,50,1
4260705920331,M.21,52,1
4260705920362,MZ.01,1,1
4260705920362,MZ.01,2,3
4260705920362,MZ.01,37,3
4260705920362,MZ.01,39,2
4260705920362,MZ.01,40,1
4260705920362,MZ.01,41,3
4260705920362,MZ.01,43,3
4260705920362,MZ.01,44,2
4260705920362,MZ.01,46,1
4260705920362,MZ.01,48,1
4260705920362,MZ.01,49,3
4260705920362,MZ.01,50,2
4260705920362,MZ.01,51,1
4260705920393,M.31,2,1
4260705920393,M.31,37,1
4260705920393,M.31,38,1
4260705920393,M.31,39,1
4260705920393,M.31,40,2
4260705920393,M.31,52,2
4260705920409,MS.08,36,1
4260705920409,MS.08,37,6
4260705920409,MS.08,38,1
4260705920409,MS.08,39,1
4260705920409,MS.08,41,3
4260705920409,MS.08,46,1
4260705920409,MS.08,52,1
4260705920416,MS.09,1,4
4260705920416,MS.09,2,4
4260705920416,MS.09,3,3
4260705920416,MS.09,4,5
4260705920416,MS.09,5,2
4260705920416,MS.09,36,3
4260705920416,MS.09,37,10
4260705920416,MS.09,38,9
4260705920416,MS.09,39,12
4260705920416,MS.09,40,10
4260705920416,MS.09,41,8
4260705920416,MS.09,42,6
4260705920416,MS.09,43,5
4260705920416,MS.09,44,4
4260705920416,MS.09,45,6
4260705920416,MS.09,46,5
4260705920416,MS.09,47,5
4260705920416,MS.09,48,2
4260705920416,MS.09,49,4
4260705920416,MS.09,50,3
4260705920416,MS.09,51,4
4260705920416,MS.09,52,2
4260705920423,M.32,1,3
4260705920423,M.32,2,3
4260705920423,M.32,3,2
4260705920423,M.32,4,3
4260705920423,M.32,5,4
4260705920423,M.32,37,5
4260705920423,M.32,38,3
4260705920423,M.32,39,3
4260705920423,M.32,40,4
4260705920423,M.32,41,3
4260705920423,M.32,42,4
4260705920423,M.32,43,3
4260705920423,M.32,44,5
4260705920423,M.32,45,5
4260705920423,M.32,46,3
4260705920423,M.32,47,4
4260705920423,M.32,48,2
4260705920423,M.32,49,3
4260705920423,M.32,50,2
4260705920423,M.32,51,2
4260705920423,M.32,52,1
4260705920508,MS.12,4,1
4260705920508,MS.12,45,1
4260705920508,MS.12,47,1
4260705920515,M.40,45,1
4260705920515,M.40,46,1
4260705920515,M.40,47,2
4260705920515,M.40,48,2
4260705920515,M.40,49,1
4260705920515,M.40,50,1
4260705920522,M.41,1,5
4260705920522,M.41,2,2
4260705920522,M.41,3,2
4260705920522,M.41,4,3
4260705920522,M.41,5,5
4260705920522,M.41,44,6
4260705920522,M.41,45,4
4260705920522,M.41,46,4
4260705920522,M.41,47,5
4260705920522,M.41,48,4
4260705920522,M.41,49,4
4260705920522,M.41,50,2
4260705920522,M.41,51,5
4260705920522,M.41,52,1
4260705920539,M.42,44,1
4260705920539,M.42,46,1
4260705920546,M.43,2,1
4260705920546,M.43,3,1
4260705920546,M.43,4,1
4260705920546,M.43,44,4
4260705920546,M.43,45,1
4260705920546,M.43,46,1
4260705920546,M.43,47,1
4260705920546,M.43,48,1
4260705920546,M.43,51,1
4260705920546,M.43,52,1
4260705920553,M.44,46,1
4260705920560,M.45,5,1
4260705920560,M.45,44,1
4260705920560,M.45,45,1
4260705920577,MS.14,46,1
4260705920584,M.46,45,1
4260705920584,M.46,47,1
4260705920591,M.47,2,1
4260705920591,M.47,45,1
4260705920607,M.48,5,1
