Date,ProductID,Quantity,Price,Quantity_perWeek,Price_Total_perOrder,MonthoftheYear,WeekoftheYear,WeekoftheMonth,DayoftheYear,DayoftheMonth,DayoftheWeek,isWeekend
2022-05-09,4260705920010,1,3.99,-1,3.99,5,19,1,129,9,0,False
2022-05-09,4260705920096,1,5.49,-1,5.49,5,19,1,129,9,0,False
2022-05-09,4260705920157,1,7.39,-1,7.39,5,19,1,129,9,0,False
2022-05-09,4260705920119,1,7.89,-1,7.89,5,19,1,129,9,0,False
2022-05-09,4260705920102,1,6.59,-1,6.59,5,19,1,129,9,0,False
2022-05-09,4260705920171,1,7.99,-1,7.99,5,19,1,129,9,0,False
2022-05-09,4260705920058,1,3.49,-1,3.49,5,19,1,129,9,0,False
2022-05-09,4260705920034,1,3.29,-1,3.29,5,19,1,129,9,0,False
2022-05-09,4260705920164,1,7.39,-1,7.39,5,19,1,129,9,0,False
2022-05-09,4260705920072,1,5.49,-1,5.49,5,19,1,129,9,0,False
2022-05-09,4260705920195,1,4.99,-1,4.99,5,19,1,129,9,0,False
2022-05-09,4260705920027,1,3.49,-1,3.49,5,19,1,129,9,0,False
2022-05-09,4260705920416,2,5.99,-2,11.98,5,19,1,129,9,0,False
2022-05-09,4260705920324,2,9.99,-2,19.98,5,19,1,129,9,0,False
2022-05-09,4260705920317,1,9.99,-1,9.99,5,19,1,129,9,0,False
2022-05-09,4260705920423,1,4.99,-1,4.99,5,19,1,129,9,0,False
2022-05-09,4260705920294,4,14.99,-4,59.96,5,19,1,129,9,0,False
2022-05-09,4260705920249,2,3.99,-2,7.98,5,19,1,129,9,0,False
2022-05-09,4260705920300,1,14.99,-1,14.99,5,19,1,129,9,0,False
2022-05-10,4260705920164,1,7.39,-2,7.39,5,19,1,130,10,1,False
2022-05-10,4260705920096,1,5.49,-2,5.49,5,19,1,130,10,1,False
2022-05-10,4260705920140,1,7.99,-1,7.99,5,19,1,130,10,1,False
2022-05-10,4260705920119,1,7.89,-2,7.89,5,19,1,130,10,1,False
2022-05-10,4260705920102,1,6.59,-2,6.59,5,19,1,130,10,1,False
2022-05-10,4260705920010,1,3.99,-2,3.99,5,19,1,130,10,1,False
2022-05-10,4260705920058,1,3.49,-2,3.49,5,19,1,130,10,1,False
2022-05-10,4260705920027,1,3.49,-2,3.49,5,19,1,130,10,1,False
2022-05-10,4260705920157,1,7.39,-2,7.39,5,19,1,130,10,1,False
2022-05-10,4260705920072,1,5.49,-2,5.49,5,19,1,130,10,1,False
2022-05-10,4260705920171,1,7.99,-2,7.99,5,19,1,130,10,1,False
2022-05-10,4260705920324,2,9.99,-4,19.98,5,19,1,130,10,1,False
2022-05-10,4260705920317,1,9.99,-2,9.99,5,19,1,130,10,1,False
2022-05-10,4260705920300,1,14.99,-2,14.99,5,19,1,130,10,1,False
2022-05-10,4260705920416,2,5.99,-4,11.98,5,19,1,130,10,1,False
2022-05-10,4260705920249,2,3.99,-4,7.98,5,19,1,130,10,1,False
2022-05-10,4260705920195,1,4.99,-2,4.99,5,19,1,130,10,1,False
2022-05-10,4260705920294,2,14.99,-6,29.98,5,19,1,130,10,1,False
2022-05-10,4260705920225,1,3.29,-1,3.29,5,19,1,130,10,1,False
2022-05-11,4260705920119,2,7.89,-4,15.78,5,19,1,131,11,2,False
2022-05-11,4260705920102,2,6.59,-4,13.18,5,19,1,131,11,2,False
2022-05-11,4260705920010,2,3.99,-4,7.98,5,19,1,131,11,2,False
2022-05-11,4260705920027,2,3.49,-4,6.98,5,19,1,131,11,2,False
2022-05-11,4260705920058,2,3.49,-4,6.98,5,19,1,131,11,2,False
2022-05-11,4260705920065,1,5.49,-1,5.49,5,19,1,131,11,2,False
2022-05-11,4260705920072,2,5.49,-4,10.98,5,19,1,131,11,2,False
2022-05-11,4260705920089,1,5.19,-1,5.19,5,19,1,131,11,2,False
2022-05-11,4260705920096,1,5.49,-3,5.49,5,19,1,131,11,2,False
2022-05-11,4260705920140,1,7.99,-2,7.99,5,19,1,131,11,2,False
2022-05-11,4260705920225,1,3.29,-2,3.29,5,19,1,131,11,2,False
2022-05-11,4260705920249,2,3.99,-6,7.98,5,19,1,131,11,2,False
2022-05-11,4260705920294,4,14.99,-10,59.96,5,19,1,131,11,2,False
2022-05-11,4260705920300,2,14.99,-4,29.98,5,19,1,131,11,2,False
2022-05-11,4260705920317,1,9.99,-3,9.99,5,19,1,131,11,2,False
2022-05-11,4260705920324,2,9.99,-6,19.98,5,19,1,131,11,2,False
2022-05-11,4260705920416,3,5.99,-7,17.97,5,19,1,131,11,2,False
2022-05-11,4260705920157,3,7.39,-5,22.17,5,19,1,131,11,2,False
2022-05-11,4260705920034,2,3.29,-3,6.58,5,19,1,131,11,2,False
2022-05-12,4260705920034,1,3.29,-4,3.29,5,19,1,132,12,3,False
2022-05-12,4260705920065,1,5.49,-2,5.49,5,19,1,132,12,3,False
2022-05-12,4260705920249,1,3.99,-7,3.99,5,19,1,132,12,3,False
2022-05-12,4260705920027,1,3.49,-5,3.49,5,19,1,132,12,3,False
2022-05-12,4260705920072,2,5.49,-6,10.98,5,19,1,132,12,3,False
2022-05-12,4260705920102,1,6.59,-5,6.59,5,19,1,132,12,3,False
2022-05-12,4260705920096,2,5.49,-5,10.98,5,19,1,132,12,3,False
2022-05-12,4260705920140,1,7.99,-3,7.99,5,19,1,132,12,3,False
2022-05-12,4260705920164,1,7.39,-3,7.39,5,19,1,132,12,3,False
2022-05-12,4260705920317,1,9.99,-4,9.99,5,19,1,132,12,3,False
2022-05-12,4260705920119,1,7.89,-5,7.89,5,19,1,132,12,3,False
2022-05-12,4260705920225,1,3.29,-3,3.29,5,19,1,132,12,3,False
2022-05-12,4260705920294,4,14.99,-14,59.96,5,19,1,132,12,3,False
2022-05-12,4260705920300,2,14.99,-6,29.98,5,19,1,132,12,3,False
2022-05-12,4260705920324,2,9.99,-8,19.98,5,19,1,132,12,3,False
2022-05-12,4260705920416,2,5.99,-9,11.98,5,19,1,132,12,3,False
2022-05-12,4260705920171,1,7.99,-3,7.99,5,19,1,132,12,3,False
2022-05-13,4260705920027,1,3.49,-6,3.49,5,19,1,133,13,4,False
2022-05-13,4260705920034,1,3.29,-5,3.29,5,19,1,133,13,4,False
2022-05-13,4260705920058,1,3.49,-5,3.49,5,19,1,133,13,4,False
2022-05-13,4260705920003,1,3.29,-1,3.29,5,19,1,133,13,4,False
2022-05-13,4260705920065,1,5.49,-3,5.49,5,19,1,133,13,4,False
2022-05-13,4260705920089,1,5.19,-2,5.19,5,19,1,133,13,4,False
2022-05-13,4260705920096,1,5.49,-6,5.49,5,19,1,133,13,4,False
2022-05-13,4260705920010,1,3.99,-5,3.99,5,19,1,133,13,4,False
2022-05-13,4260705920072,2,5.49,-8,10.98,5,19,1,133,13,4,False
2022-05-13,4260705920119,1,7.89,-6,7.89,5,19,1,133,13,4,False
2022-05-13,4260705920102,1,6.59,-6,6.59,5,19,1,133,13,4,False
2022-05-13,4260705920423,1,4.99,-2,4.99,5,19,1,133,13,4,False
2022-05-13,4260705920140,1,7.99,-4,7.99,5,19,1,133,13,4,False
2022-05-13,4260705920157,2,7.39,-7,14.78,5,19,1,133,13,4,False
2022-05-13,4260705920171,1,7.99,-4,7.99,5,19,1,133,13,4,False
2022-05-13,4260705920249,2,3.99,-9,7.98,5,19,1,133,13,4,False
2022-05-13,4260705920300,1,14.99,-7,14.99,5,19,1,133,13,4,False
2022-05-13,4260705920317,2,9.99,-6,19.98,5,19,1,133,13,4,False
2022-05-13,4260705920324,2,9.99,-10,19.98,5,19,1,133,13,4,False
2022-05-13,4260705920331,1,8.49,-1,8.49,5,19,1,133,13,4,False
2022-05-13,4260705920416,2,5.99,-11,11.98,5,19,1,133,13,4,False
2022-05-13,4260705920294,3,14.99,-17,44.97,5,19,1,133,13,4,False
2022-05-14,4260705920010,1,3.99,-6,3.99,5,19,1,134,14,5,True
2022-05-14,4260705920034,2,3.29,-7,6.58,5,19,1,134,14,5,True
2022-05-14,4260705920072,2,5.49,-10,10.98,5,19,1,134,14,5,True
2022-05-14,4260705920003,1,3.29,-2,3.29,5,19,1,134,14,5,True
2022-05-14,4260705920157,2,7.39,-9,14.78,5,19,1,134,14,5,True
2022-05-14,4260705920102,2,6.59,-8,13.18,5,19,1,134,14,5,True
2022-05-14,4260705920119,2,7.89,-8,15.78,5,19,1,134,14,5,True
2022-05-14,4260705920089,1,5.19,-3,5.19,5,19,1,134,14,5,True
2022-05-14,4260705920096,2,5.49,-8,10.98,5,19,1,134,14,5,True
2022-05-14,4260705920140,1,7.99,-5,7.99,5,19,1,134,14,5,True
2022-05-14,4260705920171,1,7.99,-5,7.99,5,19,1,134,14,5,True
2022-05-14,4260705920164,2,7.39,-5,14.78,5,19,1,134,14,5,True
2022-05-14,4260705920249,2,3.99,-11,7.98,5,19,1,134,14,5,True
2022-05-14,4260705920294,6,14.99,-23,89.94,5,19,1,134,14,5,True
2022-05-14,4260705920300,1,14.99,-8,14.99,5,19,1,134,14,5,True
2022-05-14,4260705920317,2,9.99,-8,19.98,5,19,1,134,14,5,True
2022-05-14,4260705920324,2,9.99,-12,19.98,5,19,1,134,14,5,True
2022-05-14,4260705920416,3,5.99,-14,17.97,5,19,1,134,14,5,True
2022-05-14,4260705920331,1,8.49,-2,8.49,5,19,1,134,14,5,True
2022-05-14,4260705920393,1,2.99,-1,2.99,5,19,1,134,14,5,True
2022-05-14,4260705920058,1,3.49,-6,3.49,5,19,1,134,14,5,True
2022-05-16,4260705920003,1,3.29,-3,3.29,5,20,2,136,16,0,False
2022-05-16,4260705920010,1,3.99,-7,3.99,5,20,2,136,16,0,False
2022-05-16,4260705920034,2,3.29,-9,6.58,5,20,2,136,16,0,False
2022-05-16,4260705920072,2,5.49,-12,10.98,5,20,2,136,16,0,False
2022-05-16,4260705920119,1,7.89,-9,7.89,5,20,2,136,16,0,False
2022-05-16,4260705920096,1,5.49,-9,5.49,5,20,2,136,16,0,False
2022-05-16,4260705920058,1,3.49,-7,3.49,5,20,2,136,16,0,False
2022-05-16,4260705920089,1,5.19,-4,5.19,5,20,2,136,16,0,False
2022-05-16,4260705920065,1,5.49,-4,5.49,5,20,2,136,16,0,False
2022-05-16,4260705920102,1,6.59,-9,6.59,5,20,2,136,16,0,False
2022-05-16,4260705920423,1,4.99,-3,4.99,5,20,2,136,16,0,False
2022-05-16,4260705920164,1,7.39,-6,7.39,5,20,2,136,16,0,False
2022-05-16,4260705920195,1,4.99,-3,4.99,5,20,2,136,16,0,False
2022-05-16,4260705920249,2,3.99,-13,7.98,5,20,2,136,16,0,False
2022-05-16,4260705920294,4,14.99,-27,59.96,5,20,2,136,16,0,False
2022-05-16,4260705920300,1,14.99,-9,14.99,5,20,2,136,16,0,False
2022-05-16,4260705920317,1,9.99,-9,9.99,5,20,2,136,16,0,False
2022-05-16,4260705920324,2,9.99,-14,19.98,5,20,2,136,16,0,False
2022-05-16,4260705920416,2,5.99,-16,11.98,5,20,2,136,16,0,False
2022-05-16,4260705920157,2,7.39,-11,14.78,5,20,2,136,16,0,False
2022-05-17,4260705920089,1,5.19,-5,5.19,5,20,2,137,17,1,False
2022-05-17,4260705920072,1,5.49,-13,5.49,5,20,2,137,17,1,False
2022-05-17,4260705920065,1,5.49,-5,5.49,5,20,2,137,17,1,False
2022-05-17,4260705920027,1,3.49,-7,3.49,5,20,2,137,17,1,False
2022-05-17,4260705920164,2,7.39,-8,14.78,5,20,2,137,17,1,False
2022-05-17,4260705920010,1,3.99,-8,3.99,5,20,2,137,17,1,False
2022-05-17,4260705920102,1,6.59,-10,6.59,5,20,2,137,17,1,False
2022-05-17,4260705920058,1,3.49,-8,3.49,5,20,2,137,17,1,False
2022-05-17,4260705920119,1,7.89,-10,7.89,5,20,2,137,17,1,False
2022-05-17,4260705920157,1,7.39,-12,7.39,5,20,2,137,17,1,False
2022-05-17,4260705920423,2,4.99,-5,9.98,5,20,2,137,17,1,False
2022-05-17,4260705920188,1,7.39,-1,7.39,5,20,2,137,17,1,False
2022-05-17,4260705920249,1,3.99,-14,3.99,5,20,2,137,17,1,False
2022-05-17,4260705920294,5,14.99,-32,74.95,5,20,2,137,17,1,False
2022-05-17,4260705920317,2,9.99,-11,19.98,5,20,2,137,17,1,False
2022-05-17,4260705920324,3,9.99,-17,29.97,5,20,2,137,17,1,False
2022-05-17,4260705920393,1,2.99,-2,2.99,5,20,2,137,17,1,False
2022-05-17,4260705920416,2,5.99,-18,11.98,5,20,2,137,17,1,False
2022-05-17,4260705920300,2,14.99,-11,29.98,5,20,2,137,17,1,False
2022-05-17,4260705920003,1,3.29,-4,3.29,5,20,2,137,17,1,False
2022-05-18,4260705920010,1,3.99,-9,3.99,5,20,2,138,18,2,False
2022-05-18,4260705920027,1,3.49,-8,3.49,5,20,2,138,18,2,False
2022-05-18,4260705920034,1,3.29,-10,3.29,5,20,2,138,18,2,False
2022-05-18,4260705920058,1,3.49,-9,3.49,5,20,2,138,18,2,False
2022-05-18,4260705920157,2,7.39,-14,14.78,5,20,2,138,18,2,False
2022-05-18,4260705920089,1,5.19,-6,5.19,5,20,2,138,18,2,False
