time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm)
2022-05-09,1,21.1,4.0,13.7,0.9,19.4,11.3,2022-05-09T04:27,2022-05-09T20:05,25.93,0.00,0.00,0.00,0.0,13.4,27.0,319,4.64
2022-05-10,53,23.5,11.9,17.3,9.5,21.9,15.5,2022-05-10T04:25,2022-05-10T20:07,14.00,1.50,1.50,0.00,4.0,20.7,45.4,234,3.89
2022-05-11,51,21.2,10.2,15.2,11.0,19.5,14.6,2022-05-11T04:23,2022-05-11T20:09,15.39,1.10,1.10,0.00,5.0,24.2,54.7,204,3.38
2022-05-12,51,17.7,10.0,13.9,7.4,14.4,11.0,2022-05-12T04:21,2022-05-12T20:10,17.70,0.90,0.90,0.00,5.0,29.3,55.1,181,3.35
2022-05-13,53,16.9,8.7,12.9,6.5,12.9,10.2,2022-05-13T04:20,2022-05-13T20:12,16.79,2.30,2.30,0.00,10.0,25.6,64.1,194,2.94
2022-05-14,3,17.2,9.7,14.0,7.1,14.1,11.0,2022-05-14T04:18,2022-05-14T20:14,17.42,0.00,0.00,0.00,0.0,22.9,49.0,171,3.32
2022-05-15,2,20.4,7.4,14.1,3.7,20.4,12.4,2022-05-15T04:16,2022-05-15T20:15,26.13,0.00,0.00,0.00,0.0,14.4,26.3,37,4.53
2022-05-16,3,23.8,10.0,17.3,6.1,22.8,15.3,2022-05-16T04:15,2022-05-16T20:17,23.35,0.00,0.00,0.00,0.0,17.6,39.2,352,5.14
2022-05-17,55,18.3,13.6,15.8,13.8,19.8,16.8,2022-05-17T04:13,2022-05-17T20:19,10.40,6.90,6.90,0.00,14.0,11.5,24.8,95,1.91
2022-05-18,2,26.4,13.3,20.1,11.8,26.8,19.7,2022-05-18T04:12,2022-05-18T20:20,22.97,0.00,0.00,0.00,0.0,16.8,38.5,307,4.90
2022-05-19,61,27.7,17.6,21.9,16.9,27.1,21.4,2022-05-19T04:10,2022-05-19T20:22,18.78,5.90,5.90,0.00,7.0,20.1,42.8,244,4.62
2022-05-20,61,20.7,13.3,16.3,10.4,20.0,15.3,2022-05-20T04:09,2022-05-20T20:23,21.03,7.70,7.70,0.00,7.0,31.5,58.7,189,3.71
2022-05-21,51,16.4,11.1,13.5,8.0,12.9,10.3,2022-05-21T04:07,2022-05-21T20:25,17.00,1.40,1.40,0.00,7.0,29.1,58.7,177,2.71
2022-05-22,51,17.2,10.5,14.0,8.3,16.4,12.2,2022-05-22T04:06,2022-05-22T20:26,13.80,0.50,0.50,0.00,5.0,12.2,23.0,160,2.51
2022-05-23,53,22.7,10.4,17.0,8.0,21.0,15.1,2022-05-23T04:05,2022-05-23T20:28,23.27,0.90,0.90,0.00,2.0,22.4,50.0,323,5.13
2022-05-24,61,17.8,12.0,15.1,9.6,15.3,12.9,2022-05-24T04:03,2022-05-24T20:29,16.78,7.10,7.10,0.00,10.0,22.0,45.7,217,2.85
2022-05-25,51,18.4,9.2,14.1,7.3,15.7,12.0,2022-05-25T04:02,2022-05-25T20:31,22.93,0.70,0.70,0.00,4.0,22.3,42.8,216,4.03
2022-05-26,53,17.1,12.7,14.4,10.1,13.4,11.8,2022-05-26T04:01,2022-05-26T20:32,15.24,2.70,2.70,0.00,10.0,29.6,60.5,189,3.19
2022-05-27,53,14.3,8.9,12.2,4.8,10.6,8.4,2022-05-27T04:00,2022-05-27T20:34,21.73,4.70,4.70,0.00,19.0,31.7,76.3,174,3.06
2022-05-28,53,13.7,8.1,11.1,3.8,7.8,6.3,2022-05-28T03:59,2022-05-28T20:35,17.92,3.00,3.00,0.00,12.0,33.4,67.0,160,2.63
2022-05-29,55,14.4,9.4,11.3,6.5,11.3,8.6,2022-05-29T03:57,2022-05-29T20:36,12.17,3.50,3.50,0.00,12.0,16.3,33.1,176,1.82
2022-05-30,51,13.4,7.9,10.7,3.4,12.1,8.2,2022-05-30T03:56,2022-05-30T20:38,13.73,1.60,1.60,0.00,10.0,15.6,28.1,228,2.16
2022-05-31,51,15.5,7.7,12.2,3.5,13.1,9.3,2022-05-31T03:55,2022-05-31T20:39,19.74,0.60,0.60,0.00,6.0,15.9,14.8,9,3.12
2022-06-01,63,15.1,8.0,11.8,7.2,13.5,10.5,2022-06-01T03:55,2022-06-01T20:40,17.63,9.80,9.80,0.00,12.0,10.4,30.2,18,2.57
2022-06-02,51,16.0,7.5,12.0,5.1,14.2,9.5,2022-06-02T03:54,2022-06-02T20:41,16.46,0.40,0.40,0.00,4.0,20.5,42.1,172,2.61
2022-06-03,2,20.4,8.5,14.7,5.9,20.6,13.8,2022-06-03T03:53,2022-06-03T20:43,27.90,0.00,0.00,0.00,0.0,12.3,19.8,51,4.71
2022-06-04,1,19.9,10.0,15.1,7.2,20.0,14.0,2022-06-04T03:52,2022-06-04T20:44,26.71,0.00,0.00,0.00,0.0,12.5,29.2,58,4.38
2022-06-05,53,23.2,9.1,16.9,7.2,22.1,16.0,2022-06-05T03:51,2022-06-05T20:45,25.49,1.90,1.90,0.00,4.0,15.8,34.6,1,5.10
2022-06-06,55,21.2,14.9,17.9,13.0,20.1,16.6,2022-06-06T03:51,2022-06-06T20:46,20.91,3.00,3.00,0.00,7.0,24.0,49.7,243,4.01
2022-06-07,51,18.6,12.8,15.5,10.8,15.1,12.8,2022-06-07T03:50,2022-06-07T20:47,17.66,1.30,1.30,0.00,10.0,28.5,55.1,225,3.16
