,Unnamed: 0_level_0,Experiment,Model,loss,loss,loss,mean_absolute_error,mean_absolute_error,mean_absolute_error,Experiment,Experiment,Experiment,Training Settings,Training Settings,Training Settings,Training Settings,Training Settings,Training Settings,Training Settings,Training Settings,Training Settings,Training Settings,Timing,Model,Model,Model,Model
,Unnamed: 0_level_1,Name,Name,Training,Validation,Test,Training,Validation,Test,Data Origin,Used Data Columns,Data Instances (train/valid/test),Batch Size,Epochs,Learning Rate,Optimizer,Shuffled Batches,Early Stopping,Window Width,Label Width,Shift,Predicted Labels,Latency (ms/observation),Summary,Size (MB),Trainable Params,Non-Trainable Params
0,0,MultiStep,RepeatBaseline,1.4907840490341189,3.276280879974365,2.8191466331481934,0.5815405249595642,0.7292726039886475,0.6894098520278931,./../Data/merged_cleaned_FE_imputed(v)_w.csv,"['temperature_2m_max',
 'temperature_2m_min',
 'temperature_2m_mean',
 'apparent_temperature_max',
 'apparent_temperature_min',
 'apparent_temperature_mean',
 'precipitation_sum',
 'windgusts_10m_max',
 'windspeed_10m_max',
 'shortwave_radiation_sum',
 'precipitation_hours',
 'evapotranspiration_res',
 'IsSnowfall',
 'weather_clouds developing',
 'weather_clouds dissolving',
 'weather_no clouds developing',
 'weather_precipitation',
 'weather_unchanged sky state',
 'isWeekend',
 'isWeekStart',
 'isWeekEnd',
 'isMonthStart',
 'isMonthEnd',
 'isHoliday',
 '4260705920003',
 '4260705920010',
 '4260705920027',
 '4260705920034',
 '4260705920041',
 '4260705920058',
 '4260705920065',
 '4260705920072',
 '4260705920089',
 '4260705920096',
 '4260705920102',
 '4260705920119',
 '4260705920126',
 '4260705920133',
 '4260705920140',
 '4260705920157',
 '4260705920164',
 '4260705920171',
 '4260705920188',
 '4260705920195',
 '4260705920201',
 '4260705920218',
 '4260705920225',
 '4260705920232',
 '4260705920249',
 '4260705920256',
 '4260705920263',
 '4260705920270',
 '4260705920287',
 '4260705920294',
 '4260705920300',
 '4260705920317',
 '4260705920324',
 '4260705920331',
 '4260705920355',
 '4260705920362',
 '4260705920393',
 '4260705920409',
 '4260705920416',
 '4260705920423',
 '4260705920430',
 '4260705920461',
 '4260705920478',
 '4260705920492',
 '4260705920508',
 '4260705920515',
 '4260705920522',
 '4260705920539',
 '4260705920546',
 '4260705920553',
 '4260705920560',
 '4260705920577',
 '4260705920584',
 '4260705920591',
 '4260705920607',
 '4260705920638',
 'total_quantity_day',
 'DayoftheMonth_cos',
 'DayoftheMonth_sin',
 'WeekoftheMonth_cos',
 'WeekoftheMonth_sin',
 'DayoftheWeek_cos',
 'DayoftheWeek_sin']",176/40/14,32,100,0.001,Adam,True,False,10,5,5,All,0.8031347826086943,"Model: ""baseline""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
=================================================================
Total params: 0
Trainable params: 0
Non-trainable params: 0
_________________________________________________________________",0.0,0.0,0.0
1,1,MultiStep,MultiStepLastBasline,1.3999135494232178,3.113022327423096,2.6882312297821045,0.5440413355827332,0.6884716153144836,0.6484160423278809,./../Data/merged_cleaned_FE_imputed(v)_w.csv,"['temperature_2m_max',
 'temperature_2m_min',
 'temperature_2m_mean',
 'apparent_temperature_max',
 'apparent_temperature_min',
 'apparent_temperature_mean',
 'precipitation_sum',
 'windgusts_10m_max',
 'windspeed_10m_max',
 'shortwave_radiation_sum',
 'precipitation_hours',
 'evapotranspiration_res',
 'IsSnowfall',
 'weather_clouds developing',
 'weather_clouds dissolving',
 'weather_no clouds developing',
 'weather_precipitation',
 'weather_unchanged sky state',
 'isWeekend',
 'isWeekStart',
 'isWeekEnd',
 'isMonthStart',
 'isMonthEnd',
 'isHoliday',
 '4260705920003',
 '4260705920010',
 '4260705920027',
 '4260705920034',
 '4260705920041',
 '4260705920058',
 '4260705920065',
 '4260705920072',
 '4260705920089',
 '4260705920096',
 '4260705920102',
 '4260705920119',
 '4260705920126',
 '4260705920133',
 '4260705920140',
 '4260705920157',
 '4260705920164',
 '4260705920171',
 '4260705920188',
 '4260705920195',
 '4260705920201',
 '4260705920218',
 '4260705920225',
 '4260705920232',
 '4260705920249',
 '4260705920256',
 '4260705920263',
 '4260705920270',
 '4260705920287',
 '4260705920294',
 '4260705920300',
 '4260705920317',
 '4260705920324',
 '4260705920331',
 '4260705920355',
 '4260705920362',
 '4260705920393',
 '4260705920409',
 '4260705920416',
 '4260705920423',
 '4260705920430',
 '4260705920461',
 '4260705920478',
 '4260705920492',
 '4260705920508',
 '4260705920515',
 '4260705920522',
 '4260705920539',
 '4260705920546',
 '4260705920553',
 '4260705920560',
 '4260705920577',
 '4260705920584',
 '4260705920591',
 '4260705920607',
 '4260705920638',
 'total_quantity_day',
 'DayoftheMonth_cos',
 'DayoftheMonth_sin',
 'WeekoftheMonth_cos',
 'WeekoftheMonth_sin',
 'DayoftheWeek_cos',
 'DayoftheWeek_sin']",176/40/14,32,100,0.001,Adam,True,False,10,5,5,All,0.8235913043478303,"Model: ""baseline_1""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
=================================================================
Total params: 0
Trainable params: 0
Non-trainable params: 0
_________________________________________________________________",0.0,0.0,0.0
2,2,MultiStep,Multi Convolution,0.0066132172942161,3.1283116340637207,4.104239940643311,0.0499297231435775,1.151952028274536,1.379233717918396,./../Data/merged_cleaned_FE_imputed(v)_w.csv,"['temperature_2m_max',
 'temperature_2m_min',
 'temperature_2m_mean',
 'apparent_temperature_max',
 'apparent_temperature_min',
 'apparent_temperature_mean',
 'precipitation_sum',
 'windgusts_10m_max',
 'windspeed_10m_max',
 'shortwave_radiation_sum',
 'precipitation_hours',
 'evapotranspiration_res',
 'IsSnowfall',
 'weather_clouds developing',
 'weather_clouds dissolving',
 'weather_no clouds developing',
 'weather_precipitation',
 'weather_unchanged sky state',
 'isWeekend',
 'isWeekStart',
 'isWeekEnd',
 'isMonthStart',
 'isMonthEnd',
 'isHoliday',
 '4260705920003',
 '4260705920010',
 '4260705920027',
 '4260705920034',
 '4260705920041',
 '4260705920058',
 '4260705920065',
 '4260705920072',
 '4260705920089',
 '4260705920096',
 '4260705920102',
 '4260705920119',
 '4260705920126',
 '4260705920133',
 '4260705920140',
 '4260705920157',
 '4260705920164',
 '4260705920171',
 '4260705920188',
 '4260705920195',
 '4260705920201',
 '4260705920218',
 '4260705920225',
 '4260705920232',
 '4260705920249',
 '4260705920256',
 '4260705920263',
 '4260705920270',
 '4260705920287',
 '4260705920294',
 '4260705920300',
 '4260705920317',
 '4260705920324',
 '4260705920331',
 '4260705920355',
 '4260705920362',
 '4260705920393',
 '4260705920409',
 '4260705920416',
 '4260705920423',
 '4260705920430',
 '4260705920461',
 '4260705920478',
 '4260705920492',
 '4260705920508',
 '4260705920515',
 '4260705920522',
 '4260705920539',
 '4260705920546',
 '4260705920553',
 '4260705920560',
 '4260705920577',
 '4260705920584',
 '4260705920591',
 '4260705920607',
 '4260705920638',
 'total_quantity_day',
 'DayoftheMonth_cos',
 'DayoftheMonth_sin',
 'WeekoftheMonth_cos',
 'WeekoftheMonth_sin',
 'DayoftheWeek_cos',
 'DayoftheWeek_sin']",176/40/14,32,100,0.001,Adam,True,False,10,5,5,All,0.8779869565217122,"Model: ""sequential""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lambda (Lambda)             (None, 3, 87)             0         
                                                                 
 conv1d (Conv1D)             (None, 1, 256)            67072     
                                                                 
 dense (Dense)               (None, 1, 435)            111795    
                                                                 
 reshape (Reshape)           (None, 5, 87)             0         
                                                                 
=================================================================
Total params: 178,867
Trainable params: 178,867
Non-trainable params: 0
_________________________________________________________________",0.69775390625,178867.0,0.0
3,3,MultiStep,Multi Dense,0.0384255871176719,3.856412887573242,4.916184425354004,0.1038126498460769,1.2702293395996094,1.517555832862854,./../Data/merged_cleaned_FE_imputed(v)_w.csv,"['temperature_2m_max',
 'temperature_2m_min',
 'temperature_2m_mean',
 'apparent_temperature_max',
 'apparent_temperature_min',
 'apparent_temperature_mean',
 'precipitation_sum',
 'windgusts_10m_max',
 'windspeed_10m_max',
 'shortwave_radiation_sum',
 'precipitation_hours',
 'evapotranspiration_res',
 'IsSnowfall',
 'weather_clouds developing',
 'weather_clouds dissolving',
 'weather_no clouds developing',
 'weather_precipitation',
 'weather_unchanged sky state',
 'isWeekend',
 'isWeekStart',
 'isWeekEnd',
 'isMonthStart',
 'isMonthEnd',
 'isHoliday',
 '4260705920003',
 '4260705920010',
 '4260705920027',
 '4260705920034',
 '4260705920041',
 '4260705920058',
 '4260705920065',
 '4260705920072',
 '4260705920089',
 '4260705920096',
 '4260705920102',
 '4260705920119',
 '4260705920126',
 '4260705920133',
 '4260705920140',
 '4260705920157',
 '4260705920164',
 '4260705920171',
 '4260705920188',
 '4260705920195',
 '4260705920201',
 '4260705920218',
 '4260705920225',
 '4260705920232',
 '4260705920249',
 '4260705920256',
 '4260705920263',
 '4260705920270',
 '4260705920287',
 '4260705920294',
 '4260705920300',
 '4260705920317',
 '4260705920324',
 '4260705920331',
 '4260705920355',
 '4260705920362',
 '4260705920393',
 '4260705920409',
 '4260705920416',
 '4260705920423',
 '4260705920430',
 '4260705920461',
 '4260705920478',
 '4260705920492',
 '4260705920508',
 '4260705920515',
 '4260705920522',
 '4260705920539',
 '4260705920546',
 '4260705920553',
 '4260705920560',
 '4260705920577',
 '4260705920584',
 '4260705920591',
 '4260705920607',
 '4260705920638',
 'total_quantity_day',
 'DayoftheMonth_cos',
 'DayoftheMonth_sin',
 'WeekoftheMonth_cos',
 'WeekoftheMonth_sin',
 'DayoftheWeek_cos',
 'DayoftheWeek_sin']",176/40/14,32,100,0.001,Adam,True,False,10,5,5,All,0.944791304347842,"Model: ""sequential_1""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lambda_1 (Lambda)           (None, 1, 87)             0         
                                                                 
 dense_1 (Dense)             (None, 1, 512)            45056     
                                                                 
 dense_2 (Dense)             (None, 1, 435)            223155    
                                                                 
 reshape_1 (Reshape)         (None, 5, 87)             0         
                                                                 
=================================================================
Total params: 268,211
Trainable params: 268,211
Non-trainable params: 0
_________________________________________________________________",1.0377655029296875,268211.0,0.0
4,4,MultiStep,Mutli Linear,0.4419800639152527,2.781821012496948,3.602057218551636,0.402060866355896,1.0700323581695557,1.2067502737045288,./../Data/merged_cleaned_FE_imputed(v)_w.csv,"['temperature_2m_max',
 'temperature_2m_min',
 'temperature_2m_mean',
 'apparent_temperature_max',
 'apparent_temperature_min',
 'apparent_temperature_mean',
 'precipitation_sum',
 'windgusts_10m_max',
 'windspeed_10m_max',
 'shortwave_radiation_sum',
 'precipitation_hours',
 'evapotranspiration_res',
 'IsSnowfall',
 'weather_clouds developing',
 'weather_clouds dissolving',
 'weather_no clouds developing',
 'weather_precipitation',
 'weather_unchanged sky state',
 'isWeekend',
 'isWeekStart',
 'isWeekEnd',
 'isMonthStart',
 'isMonthEnd',
 'isHoliday',
 '4260705920003',
 '4260705920010',
 '4260705920027',
 '4260705920034',
 '4260705920041',
 '4260705920058',
 '4260705920065',
 '4260705920072',
 '4260705920089',
 '4260705920096',
 '4260705920102',
 '4260705920119',
 '4260705920126',
 '4260705920133',
 '4260705920140',
 '4260705920157',
 '4260705920164',
 '4260705920171',
 '4260705920188',
 '4260705920195',
 '4260705920201',
 '4260705920218',
 '4260705920225',
 '4260705920232',
 '4260705920249',
 '4260705920256',
 '4260705920263',
 '4260705920270',
 '4260705920287',
 '4260705920294',
 '4260705920300',
 '4260705920317',
 '4260705920324',
 '4260705920331',
 '4260705920355',
 '4260705920362',
 '4260705920393',
 '4260705920409',
 '4260705920416',
 '4260705920423',
 '4260705920430',
 '4260705920461',
 '4260705920478',
 '4260705920492',
 '4260705920508',
 '4260705920515',
 '4260705920522',
 '4260705920539',
 '4260705920546',
 '4260705920553',
 '4260705920560',
 '4260705920577',
 '4260705920584',
 '4260705920591',
 '4260705920607',
 '4260705920638',
 'total_quantity_day',
 'DayoftheMonth_cos',
 'DayoftheMonth_sin',
 'WeekoftheMonth_cos',
 'WeekoftheMonth_sin',
 'DayoftheWeek_cos',
 'DayoftheWeek_sin']",176/40/14,32,100,0.001,Adam,True,False,10,5,5,All,1.2046173913043514,"Model: ""sequential_2""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lambda_2 (Lambda)           (None, 1, 87)             0         
                                                                 
 dense_3 (Dense)             (None, 1, 435)            38280     
                                                                 
 reshape_2 (Reshape)         (None, 5, 87)             0         
                                                                 
=================================================================
Total params: 38,280
Trainable params: 38,280
Non-trainable params: 0
_________________________________________________________________",0.1577949523925781,38280.0,0.0
5,5,MultiStep,Multi LSTM,0.4807415008544922,2.541601657867432,3.606089353561402,0.390758067369461,0.9090204834938048,1.047234296798706,./../Data/merged_cleaned_FE_imputed(v)_w.csv,"['temperature_2m_max',
 'temperature_2m_min',
 'temperature_2m_mean',
 'apparent_temperature_max',
 'apparent_temperature_min',
 'apparent_temperature_mean',
 'precipitation_sum',
 'windgusts_10m_max',
 'windspeed_10m_max',
 'shortwave_radiation_sum',
 'precipitation_hours',
 'evapotranspiration_res',
 'IsSnowfall',
 'weather_clouds developing',
 'weather_clouds dissolving',
 'weather_no clouds developing',
 'weather_precipitation',
 'weather_unchanged sky state',
 'isWeekend',
 'isWeekStart',
 'isWeekEnd',
 'isMonthStart',
 'isMonthEnd',
 'isHoliday',
 '4260705920003',
 '4260705920010',
 '4260705920027',
 '4260705920034',
 '4260705920041',
 '4260705920058',
 '4260705920065',
 '4260705920072',
 '4260705920089',
 '4260705920096',
 '4260705920102',
 '4260705920119',
 '4260705920126',
 '4260705920133',
 '4260705920140',
 '4260705920157',
 '4260705920164',
 '4260705920171',
 '4260705920188',
 '4260705920195',
 '4260705920201',
 '4260705920218',
 '4260705920225',
 '4260705920232',
 '4260705920249',
 '4260705920256',
 '4260705920263',
 '4260705920270',
 '4260705920287',
 '4260705920294',
 '4260705920300',
 '4260705920317',
 '4260705920324',
 '4260705920331',
 '4260705920355',
 '4260705920362',
 '4260705920393',
 '4260705920409',
 '4260705920416',
 '4260705920423',
 '4260705920430',
 '4260705920461',
 '4260705920478',
 '4260705920492',
 '4260705920508',
 '4260705920515',
 '4260705920522',
 '4260705920539',
 '4260705920546',
 '4260705920553',
 '4260705920560',
 '4260705920577',
 '4260705920584',
 '4260705920591',
 '4260705920607',
 '4260705920638',
 'total_quantity_day',
 'DayoftheMonth_cos',
 'DayoftheMonth_sin',
 'WeekoftheMonth_cos',
 'WeekoftheMonth_sin',
 'DayoftheWeek_cos',
 'DayoftheWeek_sin']",176/40/14,32,100,0.001,Adam,True,False,10,5,5,All,0.9998956521738848,"Model: ""sequential_3""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lstm (LSTM)                 (None, 32)                15360     
                                                                 
 dense_4 (Dense)             (None, 435)               14355     
                                                                 
 reshape_3 (Reshape)         (None, 5, 87)             0         
                                                                 
=================================================================
Total params: 29,715
Trainable params: 29,715
Non-trainable params: 0
_________________________________________________________________",0.1284103393554687,29715.0,0.0
6,0,Autoregressive,FeedBack,0.4071222245693207,2.6229019165039062,3.479034423828125,0.3755183815956116,1.0188589096069336,1.096901535987854,./../Data/merged_cleaned_FE_imputed(v)_w.csv,"['temperature_2m_max',
 'temperature_2m_min',
 'temperature_2m_mean',
 'apparent_temperature_max',
 'apparent_temperature_min',
 'apparent_temperature_mean',
 'precipitation_sum',
 'windgusts_10m_max',
 'windspeed_10m_max',
 'shortwave_radiation_sum',
 'precipitation_hours',
 'evapotranspiration_res',
 'IsSnowfall',
 'weather_clouds developing',
 'weather_clouds dissolving',
 'weather_no clouds developing',
 'weather_precipitation',
 'weather_unchanged sky state',
 'isWeekend',
 'isWeekStart',
 'isWeekEnd',
 'isMonthStart',
 'isMonthEnd',
 'isHoliday',
 '4260705920003',
 '4260705920010',
 '4260705920027',
 '4260705920034',
 '4260705920041',
 '4260705920058',
 '4260705920065',
 '4260705920072',
 '4260705920089',
 '4260705920096',
 '4260705920102',
 '4260705920119',
 '4260705920126',
 '4260705920133',
 '4260705920140',
 '4260705920157',
 '4260705920164',
 '4260705920171',
 '4260705920188',
 '4260705920195',
 '4260705920201',
 '4260705920218',
 '4260705920225',
 '4260705920232',
 '4260705920249',
 '4260705920256',
 '4260705920263',
 '4260705920270',
 '4260705920287',
 '4260705920294',
 '4260705920300',
 '4260705920317',
 '4260705920324',
 '4260705920331',
 '4260705920355',
 '4260705920362',
 '4260705920393',
 '4260705920409',
 '4260705920416',
 '4260705920423',
 '4260705920430',
 '4260705920461',
 '4260705920478',
 '4260705920492',
 '4260705920508',
 '4260705920515',
 '4260705920522',
 '4260705920539',
 '4260705920546',
 '4260705920553',
 '4260705920560',
 '4260705920577',
 '4260705920584',
 '4260705920591',
 '4260705920607',
 '4260705920638',
 'total_quantity_day',
 'DayoftheMonth_cos',
 'DayoftheMonth_sin',
 'WeekoftheMonth_cos',
 'WeekoftheMonth_sin',
 'DayoftheWeek_cos',
 'DayoftheWeek_sin']",176/40/14,32,100,0.001,Adam,True,False,10,5,5,All,1.2220782608695688,"Model: ""feed_back""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lstm_cell (LSTMCell)        multiple                  15360     
                                                                 
 rnn (RNN)                   multiple                  15360     
                                                                 
 dense (Dense)               multiple                  2871      
                                                                 
=================================================================
Total params: 18,231
Trainable params: 18,231
Non-trainable params: 0
_________________________________________________________________",0.0,18231.0,0.0
7,0,SingleOutput,Persistence,1.9897615909576416,1.133762240409851,1.1107027530670166,1.066702365875244,0.8629388213157654,0.8459042310714722,./../Data/merged_cleaned_FE_imputed(v)_w.csv,"['temperature_2m_max',
 'temperature_2m_min',
 'temperature_2m_mean',
 'apparent_temperature_max',
 'apparent_temperature_min',
 'apparent_temperature_mean',
 'precipitation_sum',
 'windgusts_10m_max',
 'windspeed_10m_max',
 'shortwave_radiation_sum',
 'precipitation_hours',
 'evapotranspiration_res',
 'IsSnowfall',
 'weather_clouds developing',
 'weather_clouds dissolving',
 'weather_no clouds developing',
 'weather_precipitation',
 'weather_unchanged sky state',
 'isWeekend',
 'isWeekStart',
 'isWeekEnd',
 'isMonthStart',
 'isMonthEnd',
 'isHoliday',
 '4260705920003',
 '4260705920010',
 '4260705920027',
 '4260705920034',
 '4260705920041',
 '4260705920058',
 '4260705920065',
 '4260705920072',
 '4260705920089',
 '4260705920096',
 '4260705920102',
 '4260705920119',
 '4260705920126',
 '4260705920133',
 '4260705920140',
 '4260705920157',
 '4260705920164',
 '4260705920171',
 '4260705920188',
 '4260705920195',
 '4260705920201',
 '4260705920218',
 '4260705920225',
 '4260705920232',
 '4260705920249',
 '4260705920256',
 '4260705920263',
 '4260705920270',
 '4260705920287',
 '4260705920294',
 '4260705920300',
 '4260705920317',
 '4260705920324',
 '4260705920331',
 '4260705920355',
 '4260705920362',
 '4260705920393',
 '4260705920409',
 '4260705920416',
 '4260705920423',
 '4260705920430',
 '4260705920461',
 '4260705920478',
 '4260705920492',
 '4260705920508',
 '4260705920515',
 '4260705920522',
 '4260705920539',
 '4260705920546',
 '4260705920553',
 '4260705920560',
 '4260705920577',
 '4260705920584',
 '4260705920591',
 '4260705920607',
 '4260705920638',
 'total_quantity_day',
 'DayoftheMonth_cos',
 'DayoftheMonth_sin',
 'WeekoftheMonth_cos',
 'WeekoftheMonth_sin',
 'DayoftheWeek_cos',
 'DayoftheWeek_sin']",187/51/25,32,100,0.001,Adam,True,False,3,1,1,4260705920294,0.7491520912547471,"Model: ""baseline""
_________________________________________________________________
 Layer (type)                Output Shape              Param #
=================================================================
=================================================================
Total params: 0
Trainable params: 0
Non-trainable params: 0
_________________________________________________________________",0.0,0.0,0.0
8,1,SingleOutput,Linear,0.2434300482273101,2.8785736560821533,6.838335514068604,0.3740642368793487,1.4169284105300903,1.970414161682129,./../Data/merged_cleaned_FE_imputed(v)_w.csv,"['temperature_2m_max',
 'temperature_2m_min',
 'temperature_2m_mean',
 'apparent_temperature_max',
 'apparent_temperature_min',
 'apparent_temperature_mean',
 'precipitation_sum',
 'windgusts_10m_max',
 'windspeed_10m_max',
 'shortwave_radiation_sum',
 'precipitation_hours',
 'evapotranspiration_res',
 'IsSnowfall',
 'weather_clouds developing',
 'weather_clouds dissolving',
 'weather_no clouds developing',
 'weather_precipitation',
 'weather_unchanged sky state',
 'isWeekend',
 'isWeekStart',
 'isWeekEnd',
 'isMonthStart',
 'isMonthEnd',
 'isHoliday',
 '4260705920003',
 '4260705920010',
 '4260705920027',
 '4260705920034',
 '4260705920041',
 '4260705920058',
 '4260705920065',
 '4260705920072',
 '4260705920089',
 '4260705920096',
 '4260705920102',
 '4260705920119',
 '4260705920126',
 '4260705920133',
 '4260705920140',
 '4260705920157',
 '4260705920164',
 '4260705920171',
 '4260705920188',
 '4260705920195',
 '4260705920201',
 '4260705920218',
 '4260705920225',
 '4260705920232',
 '4260705920249',
 '4260705920256',
 '4260705920263',
 '4260705920270',
 '4260705920287',
 '4260705920294',
 '4260705920300',
 '4260705920317',
 '4260705920324',
 '4260705920331',
 '4260705920355',
 '4260705920362',
 '4260705920393',
 '4260705920409',
 '4260705920416',
 '4260705920423',
 '4260705920430',
 '4260705920461',
 '4260705920478',
 '4260705920492',
 '4260705920508',
 '4260705920515',
 '4260705920522',
 '4260705920539',
 '4260705920546',
 '4260705920553',
 '4260705920560',
 '4260705920577',
 '4260705920584',
 '4260705920591',
 '4260705920607',
 '4260705920638',
 'total_quantity_day',
 'DayoftheMonth_cos',
 'DayoftheMonth_sin',
 'WeekoftheMonth_cos',
 'WeekoftheMonth_sin',
 'DayoftheWeek_cos',
 'DayoftheWeek_sin']",187/51/25,32,100,0.001,Adam,True,False,3,1,1,4260705920294,0.7508365019011239,"Model: ""sequential""
_________________________________________________________________
 Layer (type)                Output Shape              Param #
=================================================================
 flatten (Flatten)           (None, 261)               0

 dense (Dense)               (None, 1)                 262

 reshape (Reshape)           (None, 1, 1)              0

=================================================================
Total params: 262
Trainable params: 262
Non-trainable params: 0
_________________________________________________________________",0.013427734375,262.0,0.0
